Отметка времени,Расход,Доход,Комментарии,Ресурсы,Группы,Адрес электронной почты,,,
07.11.2016 5:22:20,,0,,Росбанк дебет,Ипотека,,,,
07.11.2016 5:34:35,0,,Обед на работе Маша,Сбербанк зарплата,Продукты,,,,
07.11.2016 6:05:59,0,0,66666,Росбанк дебет,Продукты,,,,
07.11.2016 10:50:43,0,,,НАЛ,Дашины занятия,,,,
07.11.2016 10:55:18,,24400,,Сбербанк зарплата,Сбербанк зарплата,,,,
07.11.2016 10:56:12,0,,,НАЛ,Дашины занятия,,,,
07.11.2016 10:56:27,0,,,НАЛ,Продукты,,,,
07.11.2016 10:56:41,0,,,НАЛ,Одежда,,,,
07.11.2016 10:56:53,0,,,НАЛ,Мобильная связь,,,,
07.11.2016 10:57:05,0,,,НАЛ,Развлечения,,,,
07.11.2016 10:57:31,0,,,НАЛ,Непредвиденные расходы,,,,
07.11.2016 10:58:50,0,,,НАЛ,Транспорт,,,,
07.11.2016 10:59:57,0,,,НАЛ,Ипотека,,,,
07.11.2016 11:00:06,0,,,НАЛ,Авто,,,,
07.11.2016 11:05:16,0,,,НАЛ,"Бытовая техника, мебель",,,,
07.11.2016 11:05:37,0,,,НАЛ,Медицина,,,,
07.11.2016 11:06:18,0,,,НАЛ,Парикмахерская,,,,
07.11.2016 11:15:28,0,,,НАЛ,Медицина,,,,
07.11.2016 11:17:41,0,,,НАЛ,Подарки,,,,
07.11.2016 11:18:53,0,,,НАЛ,Непредвиденные расходы,,,,
08.11.2016 0:55:44,1000,,,Сбербанк зарплата,МинусКарта,,,,
08.11.2016 0:56:13,,1000,,НАЛ,ПлюсНалик,,,,
08.11.2016 1:03:00,1000,,,НАЛ,Обед,,,,
08.11.2016 4:00:41,0,,Каша на завтрак,НАЛ,Обед,,,,
08.11.2016 4:01:24,0,,Пироженка и кофе. Ну очень хотелось,ВТБ,Обед,,,,
08.11.2016 9:32:46,0,,,ВТБ,Продукты,,,,
08.11.2016 9:33:45,0,,,Сбербанк Маша,Продукты,,,,
08.11.2016 9:34:00,0,,,ВТБ,Медицина,,,,
08.11.2016 20:27:43,15989,,,Сбербанк зарплата,МинусКарта,,,,
09.11.2016 3:24:22,450,,Обед,НАЛ,Обед,,,,
09.11.2016 3:24:51,1000,,,Сбербанк зарплата,МинусКарта,,,,
09.11.2016 3:25:05,,1000,,НАЛ,ПлюсНалик,,,,
09.11.2016 4:03:20,0,,,НАЛ,CORR,,,,
09.11.2016 10:22:17,4000,,,Сбербанк зарплата,МинусКарта,,,,
09.11.2016 10:22:30,,4000,,НАЛ,ПлюсНалик,,,,
09.11.2016 10:25:30,160,,,НАЛ,Продукты,,,,
09.11.2016 10:34:16,2200,,,ВТБ,МинусКарта,,,,
09.11.2016 10:34:38,,2200,,НАЛ,ПлюсНалик,,,,
09.11.2016 10:35:36,1200,,,Сбербанк Маша,МинусКарта,,,,
09.11.2016 10:35:49,,1200,,НАЛ,ПлюсНалик,,,,
09.11.2016 10:39:06,2950,2950,,НАЛ,CORR,,,,
09.11.2016 11:01:13,2500,,,НАЛ,Парикмахерская,,,,
09.11.2016 11:02:20,2600,,,НАЛ,Подарки,,,,
09.11.2016 11:03:07,400,,,НАЛ,Медицина,,,,
09.11.2016 11:03:49,1200,,,НАЛ,Мобильная связь,,,,
09.11.2016 11:05:28,9289,,,НАЛ,Продукты,,,,
09.11.2016 23:57:10,180,,,Сбербанк зарплата,Обед,,,,
10.11.2016 0:31:26,,32040,,ВТБ,ВТБ,,,,32040
10.11.2016 2:46:43,250,,,НАЛ,Обед,,,,11157
10.11.2016 10:03:02,550,,,НАЛ,Обед,,,,20883
10.11.2016 10:03:33,244,,,ВТБ,Медицина,,,,
10.11.2016 10:03:55,760,,,НАЛ,Продукты,,,,
10.11.2016 10:06:43,4000,,,ВТБ,МинусКарта,,,,
10.11.2016 10:07:04,,4000,,НАЛ,ПлюсНалик,,,,
10.11.2016 10:08:06,2000,,на дела класса,НАЛ,Непредвиденные расходы,,,,
10.11.2016 10:15:15,6913,,,ВТБ,Коммунальные расходы,,,,
10.11.2016 10:21:17,3800,,,НАЛ,Дашины занятия,,,,
